                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.67404,                0.52646,                 1.1095,                0.86318,                0.89001,                0.90834,                0.65564,                 1.1024,                0.74669,                 1.4681,             0.00057778,             0.00057778,             0.00057778
                     36,                0.64753,                0.52383,                 1.0887,                0.84852,                0.83734,                0.90277,                0.65296,                 1.0699,                0.78666,                 1.4709,             0.00054478,             0.00054478,             0.00054478
                     37,                0.67976,                0.52182,                 1.1074,                0.89535,                0.84993,                0.89168,                0.64727,                 1.0171,                0.78181,                 1.4405,             0.00051177,             0.00051177,             0.00051177
                     38,                0.62745,                0.49511,                 1.0696,                0.87734,                 0.8445,                0.88564,                0.65009,                 1.0337,                0.75622,                  1.423,             0.00047876,             0.00047876,             0.00047876
                     39,                0.63815,                0.48404,                 1.0814,                0.85976,                0.83188,                0.88593,                0.65423,                 1.0232,                0.75983,                 1.4103,             0.00044576,             0.00044576,             0.00044576
                     40,                0.60726,                0.46846,                 1.0702,                0.81928,                0.86756,                 0.8847,                0.64884,                 1.0725,                0.79464,                 1.4682,             0.00041275,             0.00041275,             0.00041275
                     41,                 0.5118,                0.42206,                 1.0176,                0.82739,                0.84856,                0.88576,                0.65729,                 1.1115,                0.83308,                  1.517,             0.00037974,             0.00037974,             0.00037974
                     42,                0.47264,                0.37321,                 1.0057,                0.81598,                 0.8427,                 0.8637,                0.64855,                 1.1251,                0.78564,                 1.5444,             0.00034674,             0.00034674,             0.00034674
                     43,                 0.4848,                0.36871,                 1.0145,                0.77385,                0.89395,                0.87571,                0.64583,                 1.1695,                0.76334,                 1.6251,             0.00031373,             0.00031373,             0.00031373
                     44,                0.46504,                0.34584,                 1.0123,                0.81914,                0.89744,                0.90321,                0.65829,                 1.1392,                0.76119,                 1.5761,             0.00028072,             0.00028072,             0.00028072
                     45,                0.44895,                 0.3501,                0.98565,                0.86106,                0.91588,                0.91685,                0.65548,                 1.0994,                0.73062,                   1.55,             0.00024772,             0.00024772,             0.00024772
                     46,                0.43618,                 0.3334,                0.97562,                0.86379,                0.89906,                0.91979,                0.66754,                 1.0858,                0.72396,                 1.5222,             0.00021471,             0.00021471,             0.00021471
                     47,                0.45142,                0.34627,                0.99941,                0.86013,                0.89764,                0.92157,                0.67895,                 1.0681,                0.71554,                 1.4982,              0.0001817,              0.0001817,              0.0001817
                     48,                0.44974,                0.35028,                0.99836,                0.85315,                0.91117,                0.91784,                0.67985,                 1.0498,                 0.7044,                 1.4853,              0.0001487,              0.0001487,              0.0001487
                     49,                0.43709,                0.33714,                0.98728,                0.86412,                0.89383,                0.91858,                0.68118,                 1.0338,                0.69372,                 1.4713,             0.00011569,             0.00011569,             0.00011569
                     50,                0.42203,                0.32387,                0.97125,                0.89281,                 0.8738,                0.91871,                0.67971,                 1.0311,                0.70002,                 1.4714,             8.2683e-05,             8.2683e-05,             8.2683e-05
