                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.71106,                0.56164,                 1.1371,                0.82894,                0.89984,                0.88444,                0.63502,                 1.1071,                0.81531,                  1.499,             0.00057778,             0.00057778,             0.00057778
                     36,                0.72857,                 0.5667,                 1.1294,                0.80515,                0.84843,                0.87363,                0.62303,                 1.0861,                0.88317,                 1.4866,             0.00054478,             0.00054478,             0.00054478
                     37,                0.72724,                0.57421,                 1.1599,                0.88484,                0.76042,                0.86456,                 0.6188,                 1.0865,                0.81961,                 1.5236,             0.00051177,             0.00051177,             0.00051177
                     38,                0.67036,                0.54038,                 1.0917,                0.85725,                0.87543,                0.89014,                0.63283,                 1.0326,                0.80238,                 1.4829,             0.00047876,             0.00047876,             0.00047876
                     39,                0.67679,                0.52463,                 1.0984,                0.83099,                0.86378,                0.89165,                0.63312,                  1.053,                0.82273,                 1.4832,             0.00044576,             0.00044576,             0.00044576
                     40,                0.66311,                0.50992,                 1.0974,                0.83669,                0.88441,                 0.9005,                0.64169,                 1.0673,                0.86402,                 1.5091,             0.00041275,             0.00041275,             0.00041275
                     41,                0.54664,                0.46739,                 1.0465,                0.86248,                0.85096,                0.88762,                 0.6467,                 1.0286,                0.88038,                 1.4922,             0.00037974,             0.00037974,             0.00037974
                     42,                0.53003,                0.42341,                 1.0423,                0.87037,                 0.8125,                0.88825,                0.64852,                 1.0071,                0.84029,                 1.4756,             0.00034674,             0.00034674,             0.00034674
                     43,                 0.5126,                0.41757,                 1.0393,                 0.8217,                0.85028,                0.88433,                 0.6519,                  1.001,                0.83711,                 1.4612,             0.00031373,             0.00031373,             0.00031373
                     44,                0.52175,                0.39198,                 1.0465,                0.81844,                 0.8742,                0.88286,                0.64801,                0.99954,                0.81331,                 1.4525,             0.00028072,             0.00028072,             0.00028072
                     45,                 0.4946,                0.38158,                 1.0141,                0.86562,                0.83474,                0.87639,                0.63619,                 1.0355,                0.86506,                 1.4885,             0.00024772,             0.00024772,             0.00024772
                     46,                0.46678,                0.36863,                 1.0012,                0.87882,                0.84461,                0.88943,                0.64383,                 1.0376,                0.86261,                 1.4967,             0.00021471,             0.00021471,             0.00021471
                     47,                0.48625,                0.36368,                 1.0253,                0.88881,                0.83772,                0.88917,                0.64067,                 1.0015,                0.83606,                 1.4577,              0.0001817,              0.0001817,              0.0001817
                     48,                0.48289,                0.38754,                 1.0321,                0.90459,                0.84341,                0.90254,                0.66325,                 1.0213,                  0.779,                 1.4672,              0.0001487,              0.0001487,              0.0001487
                     49,                 0.4823,                0.36694,                 1.0182,                0.90191,                0.86834,                0.90765,                0.67274,                 1.0117,                0.76877,                  1.468,             0.00011569,             0.00011569,             0.00011569
                     50,                0.46062,                0.35343,                 1.0045,                0.92205,                 0.8766,                0.91323,                 0.6806,                 1.0139,                0.75145,                 1.4655,             8.2683e-05,             8.2683e-05,             8.2683e-05
